source_id,file_name,ext,classification,pages_or_slides,size_mb,extraction_method,extraction_status,text_chars,chunks,notes
0_ab2tn7r0,0_ab2tn7r0.pdf,.pdf,video transcript,2,0.06,fitz-text,complete,731,1,
0_dtkwnv22,0_dtkwnv22.pdf,.pdf,video transcript,3,0.06,fitz-text,complete,1221,1,
0_kjkmxro4,0_kjkmxro4.pdf,.pdf,video transcript,19,0.1,fitz-text,complete,12197,3,
0_n6qtnjrs,0_n6qtnjrs.pdf,.pdf,video transcript,2,0.06,fitz-text,complete,1305,1,
0_ps4eqwt7,0_ps4eqwt7.pdf,.pdf,video transcript,2,0.06,fitz-text,complete,1114,1,
1_143lj4b8,1_143lj4b8.pdf,.pdf,video transcript,14,0.09,fitz-text,complete,9347,2,
1_1cg0sy8s,1_1cg0sy8s.pdf,.pdf,video transcript,2,0.06,fitz-text,complete,993,1,
1_574h0hsz,1_574h0hsz.pdf,.pdf,video transcript,2,0.05,fitz-text,complete,713,1,
1_5bu6bkms,1_5bu6bkms.pdf,.pdf,video transcript,14,0.09,fitz-text,complete,9565,2,
1_69vy7x68,1_69vy7x68.pdf,.pdf,video transcript,2,0.06,fitz-text,complete,879,1,
1_8nlrdrtj,1_8nlrdrtj.pdf,.pdf,video transcript,9,0.07,fitz-text,complete,5884,1,
1_bjyscj13,1_bjyscj13.pdf,.pdf,video transcript,6,0.07,fitz-text,complete,3650,1,
1_luz6mncn,1_luz6mncn.pdf,.pdf,video transcript,5,0.06,fitz-text,complete,2939,1,
1_mvkxpvok,1_mvkxpvok.pdf,.pdf,video transcript,9,0.08,fitz-text,complete,5616,1,
1_pciyc4os,1_pciyc4os.pdf,.pdf,video transcript,5,0.06,fitz-text,complete,2625,1,
1_qfxdmxya,1_qfxdmxya.pdf,.pdf,video transcript,19,0.1,fitz-text,complete,13776,3,
1_s0v3fwb6,1_s0v3fwb6.pdf,.pdf,video transcript,6,0.07,fitz-text,complete,4156,1,
1_x12ywfi6,1_x12ywfi6.pdf,.pdf,video transcript,7,0.07,fitz-text,complete,4076,1,
1_x80zko11,1_x80zko11.pdf,.pdf,video transcript,2,0.06,fitz-text,complete,1139,1,
25_dashboard_design_principle,25 Dashboard Design Principle.pdf,.pdf,dashboard reading,43,8.79,rapidocr,complete,66010,13,
799265616_business_intelligence_analytics_and_data_science_a_managerial_perspective_pdfdri,799265616-Business-Intelligence-Analytics-And-Data-Science-a-Managerial-Perspective-PDFDrive.pdf,.pdf,textbook,515,76.82,rapidocr,complete,1656044,326,
aws_data_analytics_products,AWS Data Analytics Products.pdf,.pdf,cloud analytics slides,43,1.58,hybrid-fitz-text-rapidocr,complete,25826,5,
big_data_architecture_resources,Big Data Architecture Resources.docx,.docx,reference list,19,0.04,python-docx,complete,1882,1,
big_data_governance_nov_7_2013v62docx,Big-Data-Governance-Nov-7-2013v62docx.pdf,.pdf,data governance reading,16,1.95,fitz-text,complete,41207,8,
dashboard_building_principles,Dashboard Building Principles.pdf,.pdf,dashboard reading,10,1.78,rapidocr,complete,11133,3,
data_governance_in_small_businesses,Data Governance in Small Businesses.pdf,.pdf,data governance reading,7,0.69,fitz-text,complete,29458,6,
data_warehousing,Data Warehousing.pdf,.pdf,data warehousing reading,5,1.41,rapidocr,complete,8774,2,
google_cloud_platform,Google Cloud Platform.pdf,.pdf,cloud analytics slides,20,1.68,rapidocr,complete,15485,4,
overcoming_data_challenge,Overcoming Data Challenge.pdf,.pdf,image-only reading,4,0.91,rapidocr,complete,7072,2,
review_of_statistics_1,Review of Statistics(1).pptx,.pptx,statistics/R slide deck,221,3.12,pptx-xml,complete,81213,16,
